Month,Region,Headquarter,Call Average
7,Lucknow,Moradabad,816
7,Lucknow,Muzaffarnagar,1199
7,Lucknow,Varanasi-1,866
7,Lucknow,Varanasi-2,537
8,Delhi,Ambala,695
8,Delhi,Amritsar,804
8,Delhi,Bharatpur,547
8,Delhi,Bhatinda,688
8,Delhi,Delhi,955
8,Delhi,Gurgaon,126
8,Delhi,Hisar,681
8,Delhi,Jaipur,754
8,Delhi,Jalandhar,893
8,Delhi,Jammu,670
8,Delhi,Jodhpur,578
8,Delhi,Karnal,686
8,Delhi,Kota,196
8,Delhi,Ludhiana,963
8,Delhi,Mandi,676
8,Delhi,Patiala,379
8,Delhi,Rohtak,319
8,Delhi,Sikar,81
8,Delhi,Sri Ganganagar,382
8,Delhi,Srinagar,670
8,Delhi,Udaipur,521
8,Kolkata,BHUBANESWAR,2
8,Kolkata,Balasore,568
8,Kolkata,Bhagalpur,680
8,Kolkata,Burdwan,6
8,Kolkata,CUTTACK,469
8,Kolkata,Dhanbad,712
8,Kolkata,Dharbanga,591
8,Kolkata,Dibrugarh,515
8,Kolkata,Gauhati,511
8,Kolkata,Gaya,677
8,Kolkata,Jamshedpur,691
8,Kolkata,Motihari,687
8,Kolkata,Muzaffarpur,484
8,Kolkata,Nagaon,441
8,Kolkata,Patna - 1,863
8,Kolkata,Patna - 2,608
8,Kolkata,Purnea,527
8,Kolkata,Ranchi - 1,682
8,Kolkata,Ranchi - 2,484
8,Kolkata,Silchar,172
8,Lucknow,Agra,785
8,Lucknow,Aligarh,839
8,Lucknow,Allahabad,703
8,Lucknow,Azamgarh,605
8,Lucknow,Bareilly,583
8,Lucknow,Dehradun,684
8,Lucknow,Faizabad,554
8,Lucknow,Ghaziabad,983
8,Lucknow,Ghazipur / Balia,672
8,Lucknow,Gorakhpur -1,625
8,Lucknow,Gorakhpur -2,567
8,Lucknow,Haldwani,342
8,Lucknow,Jhansi,690
8,Lucknow,Kanpur - 1,468
8,Lucknow,Kanpur - 2,717
8,Lucknow,Lucknow - 1,652
8,Lucknow,Lucknow-2,803
8,Lucknow,Meerut,805
8,Lucknow,Moradabad,818
8,Lucknow,Muzaffarnagar,1070
8,Lucknow,Varanasi-1,902
8,Lucknow,Varanasi-2,577
