5,Delhi,Ambala,61.6715566304
5,Delhi,Amritsar,55.0420963874
5,Delhi,Bharatpur,
5,Delhi,Bhatinda,58.2266888579
5,Delhi,Delhi,94.5663504558
5,Delhi,Gurgaon,13.1597428234
5,Delhi,Hisar,54.4554024992
5,Delhi,Jaipur,28.4920429268
5,Delhi,Jalandhar,103.278337564
5,Delhi,Jammu,19.8860465892
5,Delhi,Jhunjhunu,
5,Delhi,Jodhpur,48.3957509031
5,Delhi,Karnal,85.2580321736
5,Delhi,Kota,12.5111930104
5,Delhi,Ludhiana,51.3115425276
5,Delhi,Mandi,49.0980229175
5,Delhi,Patiala,58.8595957584
5,Delhi,Rohtak,57.6729050939
5,Delhi,Sikar,
5,Delhi,Sri Ganganagar,
5,Delhi,Srinagar,
5,Delhi,Udaipur,14.3427229175
5,Kolkata,Bhagalpur,53.1844332295
5,Kolkata,Burdwan,56.6552752589
5,Kolkata,Dhanbad,40.1657324159
5,Kolkata,Dharbanga,38.6917945542
5,Kolkata,Dibrugarh,37.8364483713
5,Kolkata,Gauhati,66.0989071195
5,Kolkata,Gaya,23.1451434637
5,Kolkata,Jamshedpur,15.9319038461
5,Kolkata,Kolkata - 1,29.1573298254
5,Kolkata,Kolkata - 2,174.157450183
5,Kolkata,Krishnanagar,91.8369470088
5,Kolkata,Malda,51.3727703367
5,Kolkata,Midnapore,85.7790513968
5,Kolkata,Motihari,60.8603028957
5,Kolkata,Muzaffarpur,76.6302778707
5,Kolkata,Nagaon,84.4973491015
5,Kolkata,Patna - 1,129.54485504
5,Kolkata,Patna - 2,233.414720399
5,Kolkata,Purnea,96.4252799966
5,Kolkata,Ranchi - 1,43.0896695441
5,Kolkata,Ranchi - 2,15.9376289297
5,Kolkata,Silchar,97.3324564879
5,Kolkata,Siliguri / Coochbehar,52.0955162835
5,Lucknow,Agra,110.191706652
5,Lucknow,Aligarh,10.3635631682
5,Lucknow,Allahabad,112.334437064
5,Lucknow,Azamgarh,45.0478719216
5,Lucknow,Bareilly,35.7370638446
5,Lucknow,Basti,
5,Lucknow,Dehradun,64.6710874159
5,Lucknow,Faizabad,58.0901080124
5,Lucknow,Ghaziabad,270.585695657
5,Lucknow,Ghazipur / Balia,112.654652579
5,Lucknow,Gorakhpur -1,113.278478967
5,Lucknow,Gorakhpur -2,228.196274856
5,Lucknow,Haldwani,24.9994795619
5,Lucknow,Jhansi,58.0546608828
5,Lucknow,Kanpur - 1,12.8095065263
5,Lucknow,Kanpur - 2,8.13361780949
