Month,Region,Head,Call Average,Performance,Pob
6,Kolkata,Patna - 2,33.3,132.6476148,11.71173432
6,Kolkata,Purnea,27,72.60468308,29.85060183
6,Kolkata,Ranchi - 1,31.29166667,15.0110703,4.304635361
6,Kolkata,Ranchi - 2,18.58333333,10.89435821,4.214743547
6,Kolkata,Silchar,14.73913043,20.85442599,6.060535584
6,Kolkata,Siliguri / Coochbehar,23,43.41559387,0.211248657
6,Lucknow,Agra,26.33333333,172.404719,45.53146158
6,Lucknow,Aligarh,30.52173913,4.542244923,12.66621569
6,Lucknow,Allahabad,26.64,57.47712149,38.48102163
6,Lucknow,Azamgarh,24.16666667,27.26162557,16.89805303
6,Lucknow,Dehradun,22.34782609,28.69494773,21.01360822
6,Lucknow,Faizabad,24.47619048,68.26423909,33.28914994
6,Lucknow,Ghaziabad,24.75,17.85792956,7.132679574
6,Lucknow,Ghazipur / Balia,26.38461538,48.65497509,37.97110914
6,Lucknow,Gorakhpur -1,26.72727273,85.57372064,26.52098191
6,Lucknow,Gorakhpur -2,18.36363636,73.36607153,4.420698972
6,Lucknow,Haldwani,5.1,27.78907444,2.093696678
6,Lucknow,Jhansi,28.28571429,71.14079931,19.61908718
6,Lucknow,Kanpur - 1,22.33333333,7.607654251,0.248220429
6,Lucknow,Kanpur - 2,20.66666667,48.45658951,6.031660931
6,Lucknow,Lucknow - 1,19.88888889,97.53010823,0.001637747
6,Lucknow,Lucknow-2,17.08333333,0.970977897,1.240628144
6,Lucknow,Meerut,32.84615385,29.84657972,10.995915
6,Lucknow,Moradabad,27.38461538,34.37677625,21.4472858
6,Lucknow,Muzaffarnagar,45.16,189.369104,61.19763804
6,Lucknow,Varanasi-1,32.27272727,35.03582892,28.41562764
6,Lucknow,Varanasi-2,18.89473684,,
7,Delhi,Ambala,28.91666667,102.5164267,14.95900865
7,Delhi,Amritsar,28.84,100.5198631,35.40813633
7,Delhi,Bharatpur,23.29166667,,
7,Delhi,Bhatinda,28.125,76.67813305,23.55125898
7,Delhi,Delhi,36.52380952,55.50801133,5.599145308
7,Delhi,Gurgaon,,95.54162702,0.303980303
7,Delhi,Hisar,29.24,102.7878882,60.6847728
7,Delhi,Jaipur,36.75,68.5360826,24.223157
7,Delhi,Jalandhar,30.88461538,100.5446365,47.81754876
7,Delhi,Jammu,29.28,68.17135964,35.64905059
7,Delhi,Jhunjhunu,,,
7,Delhi,Jodhpur,21,50.92927433,4.534995097
7,Delhi,Karnal,28.84,101.6756917,39.4726564
7,Delhi,Kota,,27.36720601,13.27441086
7,Delhi,Ludhiana,39.25,162.8267615,44.13822576
7,Delhi,Mandi,31.5,29.04911666,
7,Delhi,Patiala,,70.55518184,
7,Delhi,Rohtak,30.68,87.93646767,35.19598247
7,Delhi,Sikar,,,
7,Delhi,Sri Ganganagar,,,
7,Delhi,Srinagar,26.20833333,110.3696734,23.38822854
7,Delhi,Udaipur,27.79166667,101.1554478,28.72169713
7,Kolkata,BHUBANESWAR,13.81818182,27.94127736,33.63817447
7,Kolkata,Balasore,17.69230769,29.35906957,34.91628903
7,Kolkata,Bhagalpur,36.76,64.44617525,13.4117388
7,Kolkata,Burdwan,18.55555556,inf,inf
7,Kolkata,CUTTACK,14.19230769,19.89412359,26.39478661
7,Kolkata,Dhanbad,21.125,56.10868906,3.603949685
7,Kolkata,Dharbanga,20,58.61473683,11.67234096
7,Kolkata,Dibrugarh,19.42857143,94.58458474,6.319907177
7,Kolkata,Gauhati,28.76,96.62094535,9.338802597
7,Kolkata,Gaya,29.30769231,45.22873222,7.200590285
7,Kolkata,Jamshedpur,28,34.87886664,25.92518254
7,Kolkata,Kolkata - 1,,inf,
7,Kolkata,Kolkata - 2,24.14285714,,
7,Kolkata,Krishnanagar,27.77777778,inf,inf
7,Kolkata,Midnapore,23.22222222,inf,inf
7,Kolkata,Motihari,32.39130435,67.48212034,11.55802691
7,Kolkata,Muzaffarpur,29.6,64.32056726,6.034854394
7,Kolkata,Nagaon,23.65217391,111.5309007,16.35082608
7,Kolkata,Patna - 1,37.77272727,58.54791037,8.394916062
7,Kolkata,Patna - 2,6.608695652,,
7,Kolkata,Purnea,25.65217391,86.93166796,13.45903501
7,Kolkata,Ranchi - 1,36.26923077,47.21897176,7.561831796
7,Kolkata,Ranchi - 2,22.125,,
7,Kolkata,Silchar,18.63636364,39.97194385,8.022211223
7,Lucknow,Agra,30.32,236.2267152,87.88652021
7,Lucknow,Aligarh,29.83333333,11.11092912,0.096513685
7,Lucknow,Allahabad,28.26923077,109.7873578,58.17171098
7,Lucknow,Azamgarh,26.30769231,59.01283253,14.34088204
7,Lucknow,Bareilly,27.08,42.68026222,11.24747371
7,Lucknow,Dehradun,27.20833333,77.48634745,31.76265696
7,Lucknow,Faizabad,23.80952381,150.2464733,74.74443809
7,Lucknow,Ghaziabad,34.70833333,109.1607491,83.2574024
7,Lucknow,Ghazipur / Balia,28.65384615,104.5036722,40.2925295
7,Lucknow,Gorakhpur -1,30.92307692,31.65510743,78.79405371
7,Lucknow,Gorakhpur -2,29.25,,
7,Lucknow,Jhansi,29.5,84.21760686,36.98007869
7,Lucknow,Kanpur - 1,24.66666667,15.03682153,0.493312563
7,Lucknow,Kanpur - 2,28.76923077,,
7,Lucknow,Lucknow - 1,26.32,246.4107501,37.2372571
7,Lucknow,Lucknow-2,29.16666667,,
7,Lucknow,Meerut,28.57692308,36.57279297,18.91930188
7,Lucknow,Moradabad,31.38461538,105.2865691,68.12990312
7,Lucknow,Muzaffarnagar,46.11538462,222.7963241,73.35549916
7,Lucknow,Varanasi-1,34.64,145.988274,72.26777161
7,Lucknow,Varanasi-2,22.375,,
8,Delhi,Ambala,28.95833333,104.2581947,24.54494435
8,Delhi,Amritsar,33.5,116.3511203,66.67197878
8,Delhi,Bharatpur,24.86363636,,
8,Delhi,Bhatinda,28.66666667,102.21625,32.32573475
8,Delhi,Delhi,39.79166667,105.764276,14.23897183
8,Delhi,Gurgaon,42,95.19954953,
8,Delhi,Hisar,28.375,101.5060179,74.95746377
8,Delhi,Jaipur,34.27272727,69.44593663,18.1774712
8,Delhi,Jalandhar,38.82608696,103.7715964,67.97857768
8,Delhi,Jammu,27.91666667,101.9852246,41.16352412
8,Delhi,Jodhpur,26.27272727,103.0459083,20.19589207
8,Delhi,Karnal,28.58333333,100.1866608,49.95724104
8,Delhi,Kota,,20.48729694,8.922446277
8,Delhi,Ludhiana,40.125,217.9352487,66.38778322
8,Delhi,Mandi,28.16666667,,9.983197061
8,Delhi,Patiala,37.9,102.5063963,9.352853526
8,Delhi,Rohtak,35.44444444,72.14681033,13.43766488
8,Delhi,Sikar,,,
8,Delhi,Sri Ganganagar,18.19047619,114.774208,39.03407439
8,Delhi,Srinagar,27.91666667,123.6767357,39.1557593
8,Delhi,Udaipur,23.68181818,100.6731499,35.66348282
8,Kolkata,BHUBANESWAR,,111.3353534,
8,Kolkata,Balasore,25.81818182,130.3265479,49.16376369
